,Event,Time,X,Y
0,Spearow,1548551712.92,8,12
1,Pikachu,1548551713.24,6,13
2,Pikachu,1548551715.02,6,8
3,Pikachu,1548551715.66,9,5
4,Pikachu,1548551715.88,11,5
5,Pikachu,1548551717.06,14,7
6,Pikachu,1548551717.49,12,5
7,Pikachu,1548551718.56,5,8
8,Pikachu,1548551720.28,8,5
9,Pikachu,1548551722.54,6,8
10,Pikachu,1548551725.99,5,12
11,Pikachu,1548551727.3,7,6
12,Pikachu,1548551729.11,15,9
13,Pikachu,1548551731.88,15,11
14,Nidorina,1548551732.64,15,18
15,Nidorina,1548551733.82,17,9
16,Pikachu,1548551735.42,8,5
17,Pikachu,1548551737.35,14,7
18,Jigglypuff,1548551739.46,16,15
19,Pikachu,1548551741.93,5,11
20,Pikachu,1548551744.28,15,9
21,Jigglypuff,1548551744.82,11,8
22,Pikachu,1548551745.45,5,8
23,Spearow,1548551746.64,3,13
24,Spearow,1548551749.23,5,17
25,Pikachu,1548551751.05,15,10
26,Pikachu,1548551752.13,5,10
27,Spearow,1548551752.25,5,11
28,Spearow,1548551753.04,7,16
29,Nidorina,1548551753.69,1,16
30,Nidorina,1548551755.31,4,4
31,Pikachu,1548551757.04,15,9
32,Spearow,1548551758.13,8,12
33,Spearow,1548551758.89,3,10
34,Pikachu,1548551762.1,12,5
35,Pikachu,1548551763.18,12,15
36,Pikachu,1548551767.45,10,5
37,Pikachu,1548551770.85,8,15
38,Spearow,1548551775.82,9,11
39,Spearow,1548551779.88,2,18
40,Spearow,1548551780.0,1,18
41,Spearow,1548551780.75,1,11
42,Spearow,1548551783.23,4,11
43,Spearow,1548551785.25,6,16
