,Event,Time,X,Y
0,Pikachu,1548554415.64,6,8
1,Jigglypuff,1548554417.31,3,7
2,Poliwhirl,1548554418.47,11,6
3,Spearow,1548554419.86,6,14
4,Nidorina,1548554420.08,5,15
5,Jigglypuff,1548554422.18,6,16
6,Spearow,1548554422.93,4,19
7,Pikachu,1548554425.91,12,15
8,Jigglypuff,1548554427.92,16,18
9,Spearow,1548554429.29,10,17
10,Jigglypuff,1548554432.64,10,1
11,Jigglypuff,1548554434.76,12,19
12,Pikachu,1548554435.51,9,15
13,Poliwhirl,1548554436.79,9,3
14,Jigglypuff,1548554437.87,1,3
15,Spearow,1548554438.85,2,11
16,Pikachu,1548554442.13,12,14
17,Pikachu,1548554444.15,14,13
18,Poliwhirl,1548554447.83,18,8
19,Pikachu,1548554448.8,12,5
20,Poliwhirl,1548554449.13,11,3
21,Pikachu,1548554451.14,5,10
22,Nidorina,1548554451.36,7,10
23,Jigglypuff,1548554452.44,11,16
24,Jigglypuff,1548554457.0,19,1
25,Nidorina,1548554457.74,19,8
26,Poliwhirl,1548554458.82,19,18
27,Poliwhirl,1548554460.53,14,9
28,Jigglypuff,1548554461.17,12,11
29,Nidorina,1548554468.6,11,7
30,Poliwhirl,1548554469.69,13,13
31,Spearow,1548554470.56,6,14
