,Event,Time,X,Y
0,Jigglypuff,1548551632.58,11,5
1,Pikachu,1548551633.74,10,15
2,Pikachu,1548551635.95,12,6
3,Pikachu,1548551637.64,11,5
4,Pikachu,1548551639.67,8,15
5,Nidorina,1548551641.93,5,13
6,Pikachu,1548551644.88,8,14
7,Pikachu,1548551646.5,13,6
8,Pikachu,1548551648.2,5,8
9,Jigglypuff,1548551648.97,8,4
10,Pikachu,1548551652.05,10,5
11,Pikachu,1548551657.73,7,14
12,Pikachu,1548551661.77,8,15
13,Pikachu,1548551662.63,14,13
14,Pikachu,1548551664.12,8,5
15,Spearow,1548551665.84,7,18
16,Pikachu,1548551667.98,14,7
17,Spearow,1548551669.92,8,17
18,Pikachu,1548551671.64,14,7
19,Pikachu,1548551673.05,5,11
20,Pikachu,1548551674.14,9,15
21,Pikachu,1548551676.58,15,10
22,Spearow,1548551677.45,7,10
23,Pikachu,1548551677.89,7,6
24,Pikachu,1548551681.5,10,15
25,Pikachu,1548551682.81,14,13
26,Pikachu,1548551685.57,10,5
27,Nidorina,1548551690.81,4,2
28,Jigglypuff,1548551690.93,3,2
29,Poliwhirl,1548551692.12,1,11
30,Spearow,1548551692.24,1,12
31,Pikachu,1548551696.91,5,10
32,Poliwhirl,1548551697.55,1,10
33,Pikachu,1548551701.95,9,15
34,Spearow,1548551704.09,6,18
