,Event,Time,X,Y
0,Poliwhirl,1548554952.92,8,7
1,Jigglypuff,1548554953.86,3,6
2,Pikachu,1548554955.42,10,5
3,Jigglypuff,1548554955.91,12,6
4,Pikachu,1548554957.33,14,13
5,Nidorina,1548554959.2,3,14
6,Pikachu,1548554960.77,13,14
7,Nidorina,1548554963.26,14,13
8,Nidorina,1548554966.39,7,8
9,Pikachu,1548554966.56,6,8
10,Nidorina,1548554966.58,6,8
11,Poliwhirl,1548554967.84,1,5
12,Jigglypuff,1548554969.1,4,2
13,Nidorina,1548554969.58,5,4
14,Jigglypuff,1548554970.53,9,6
15,Jigglypuff,1548554972.09,12,13
16,Pikachu,1548554972.58,11,15
17,Nidorina,1548554973.68,9,18
18,Jigglypuff,1548554975.24,16,19
19,Spearow,1548554977.73,1,18
20,Poliwhirl,1548554979.6,2,7
21,Spearow,1548554980.86,3,12
22,Poliwhirl,1548554983.51,4,18
23,Pikachu,1548554986.33,6,8
24,Spearow,1548554986.65,6,10
25,Jigglypuff,1548554986.98,7,11
26,Jigglypuff,1548554988.39,12,7
27,Poliwhirl,1548554989.34,12,1
28,Nidorina,1548554989.98,15,2
29,Poliwhirl,1548554990.61,15,6
30,Nidorina,1548554991.08,18,6
31,Poliwhirl,1548554993.74,8,13
32,Spearow,1548554994.53,4,14
33,Pikachu,1548554997.19,10,5
34,Poliwhirl,1548554999.71,4,1
35,Pikachu,1548555003.31,15,11
36,Pikachu,1548555007.53,10,15
37,Nidorina,1548555010.98,1,2
38,Jigglypuff,1548555012.55,7,6
39,Nidorina,1548555013.96,6,8
40,Spearow,1548555014.59,6,12
41,Poliwhirl,1548555014.92,8,12
42,Nidorina,1548555015.41,11,12
43,Pikachu,1548555016.04,12,15
44,Jigglypuff,1548555017.15,9,19
45,Nidorina,1548555020.61,15,3
46,Poliwhirl,1548555022.81,10,10
47,Pikachu,1548555023.61,5,10
48,Spearow,1548555025.34,9,11
49,Nidorina,1548555028.34,5,14
50,Pikachu,1548555028.66,7,14
51,Jigglypuff,1548555029.29,11,14
52,Spearow,1548555030.56,9,16
