,Event,Time,X,Y
0,Spearow,1548554495.46,7,18
1,Nidorina,1548554496.3,6,11
2,Poliwhirl,1548554497.14,7,16
3,Nidorina,1548554498.11,3,11
4,Poliwhirl,1548554500.12,11,18
5,Pikachu,1548554501.91,9,15
6,Pikachu,1548554503.41,5,9
7,Pikachu,1548554504.05,6,12
8,Poliwhirl,1548554507.41,4,16
9,Poliwhirl,1548554509.1,3,1
10,Poliwhirl,1548554510.16,2,10
11,Spearow,1548554511.24,1,19
12,Pikachu,1548554512.51,9,15
13,Nidorina,1548554514.84,8,2
14,Spearow,1548554515.92,7,11
15,Jigglypuff,1548554518.36,15,6
16,Poliwhirl,1548554518.38,15,6
17,Nidorina,1548554519.86,3,4
