,Event,Time,X,Y
0,Nidorina,1548554274.47,16,13
1,Poliwhirl,1548554275.63,5,13
2,Nidorina,1548554276.17,6,17
3,Spearow,1548554276.5,9,17
4,Pikachu,1548554279.55,15,12
5,Poliwhirl,1548554280.94,19,11
6,Pikachu,1548554283.09,9,5
7,Poliwhirl,1548554285.52,10,17
8,Pikachu,1548554287.64,7,14
9,Spearow,1548554289.84,6,18
10,Poliwhirl,1548554291.86,4,1
11,Jigglypuff,1548554291.98,3,1
12,Poliwhirl,1548554293.51,2,10
13,Spearow,1548554296.46,2,14
14,Nidorina,1548554298.49,5,8
15,Spearow,1548554299.23,6,12
16,Pikachu,1548554299.35,6,13
17,Spearow,1548554300.11,7,19
18,Nidorina,1548554301.92,8,7
19,Poliwhirl,1548554302.99,4,13
20,Pikachu,1548554305.32,12,5
21,Spearow,1548554306.61,9,14
22,Poliwhirl,1548554309.26,17,19
23,Jigglypuff,1548554310.96,4,18
24,Nidorina,1548554313.73,19,9
25,Spearow,1548554314.91,9,10
26,Spearow,1548554316.2,2,15
27,Pikachu,1548554318.43,14,14
28,Nidorina,1548554319.61,3,14
29,Spearow,1548554322.77,5,12
30,Poliwhirl,1548554323.75,11,13
31,Poliwhirl,1548554324.31,10,17
32,Spearow,1548554325.49,2,18
33,Poliwhirl,1548554328.06,16,8
34,Jigglypuff,1548554329.55,6,8
35,Nidorina,1548554330.64,9,11
36,Nidorina,1548554332.03,2,15
37,Poliwhirl,1548554332.37,2,18
38,Nidorina,1548554337.65,6,12
39,Jigglypuff,1548554338.09,6,8
40,Pikachu,1548554338.96,9,5
41,Nidorina,1548554339.19,9,7
42,Jigglypuff,1548554341.86,15,8
43,Poliwhirl,1548554343.67,17,19
44,Nidorina,1548554345.07,4,19
45,Nidorina,1548554346.45,6,8
46,Nidorina,1548554348.6,17,9
47,Nidorina,1548554352.55,1,14
48,Jigglypuff,1548554353.42,3,8
49,Pikachu,1548554355.55,8,5
