,Event,Time,X,Y
0,Jigglypuff,1548554795.39,17,15
1,Nidorina,1548554795.82,13,15
2,Pikachu,1548554797.71,11,5
3,Poliwhirl,1548554799.29,10,19
4,Spearow,1548554803.48,3,10
5,Poliwhirl,1548554803.7,3,12
6,Nidorina,1548554805.93,17,13
7,Poliwhirl,1548554806.67,16,7
8,Nidorina,1548554808.36,9,12
9,Nidorina,1548554808.89,10,8
10,Poliwhirl,1548554809.22,13,8
11,Pikachu,1548554809.47,15,8
12,Spearow,1548554811.78,1,14
13,Nidorina,1548554814.0,12,4
14,Poliwhirl,1548554814.97,19,6
15,Poliwhirl,1548554815.72,17,11
16,Spearow,1548554817.52,5,16
17,Jigglypuff,1548554820.39,18,2
18,Nidorina,1548554820.93,14,1
19,Jigglypuff,1548554822.83,14,13
20,Spearow,1548554823.79,7,11
21,Jigglypuff,1548554824.01,7,9
22,Pikachu,1548554824.34,7,6
23,Poliwhirl,1548554825.09,3,5
24,Spearow,1548554826.67,1,18
25,Pikachu,1548554829.21,14,7
26,Jigglypuff,1548554830.61,15,15
27,Spearow,1548554831.69,9,19
28,Spearow,1548554832.57,1,19
29,Jigglypuff,1548554833.87,3,9
30,Pikachu,1548554836.19,9,15
31,Poliwhirl,1548554836.73,5,16
32,Spearow,1548554837.05,4,18
33,Jigglypuff,1548554843.25,1,4
34,Spearow,1548554844.65,7,11
35,Poliwhirl,1548554845.19,6,15
