,Event,Time,X,Y
0,Nidorina,1548554604.49,17,19
1,Pikachu,1548554606.57,14,8
2,Nidorina,1548554607.74,15,16
3,Spearow,1548554609.54,1,19
4,Poliwhirl,1548554613.54,2,2
5,Jigglypuff,1548554615.86,4,4
6,Pikachu,1548554616.73,5,11
7,Poliwhirl,1548554617.05,5,14
8,Spearow,1548554617.38,5,17
9,Jigglypuff,1548554620.31,19,11
10,Poliwhirl,1548554620.66,19,14
11,Poliwhirl,1548554620.88,18,15
12,Nidorina,1548554621.52,12,15
13,Pikachu,1548554622.8,5,10
14,Spearow,1548554625.95,6,11
15,Spearow,1548554626.81,7,14
16,Jigglypuff,1548554629.04,6,18
17,Spearow,1548554630.31,1,11
18,Nidorina,1548554630.74,4,10
19,Pikachu,1548554634.02,6,13
20,Poliwhirl,1548554634.04,6,13
21,Jigglypuff,1548554634.26,6,11
22,Poliwhirl,1548554635.86,7,9
23,Spearow,1548554636.65,7,16
24,Poliwhirl,1548554637.94,17,14
25,Jigglypuff,1548554638.68,15,9
26,Jigglypuff,1548554640.2,7,3
27,Pikachu,1548554641.94,5,9
28,Spearow,1548554642.38,5,13
