,Event,Time,X,Y
0,Jigglypuff,1548554033.31,3,7
1,Pikachu,1548554034.57,11,5
2,Pikachu,1548554035.52,5,8
3,Jigglypuff,1548554036.49,4,16
4,Spearow,1548554038.71,8,19
5,Pikachu,1548554040.41,8,15
6,Nidorina,1548554040.42,8,15
7,Spearow,1548554042.25,4,14
8,Spearow,1548554042.38,4,15
9,Pikachu,1548554043.01,10,15
10,Nidorina,1548554045.04,8,16
11,Pikachu,1548554047.87,13,6
12,Poliwhirl,1548554049.05,12,12
13,Pikachu,1548554049.8,7,14
14,Nidorina,1548554052.46,8,6
15,Spearow,1548554053.65,2,11
16,Spearow,1548554054.54,2,19
17,Poliwhirl,1548554054.86,5,19
