,Event,Time,X,Y
0,Nidorina,1548554157.72,19,13
1,Poliwhirl,1548554159.92,5,18
2,Spearow,1548554160.14,5,16
3,Pikachu,1548554161.01,5,8
4,Jigglypuff,1548554162.08,11,10
5,Poliwhirl,1548554162.41,8,10
6,Poliwhirl,1548554164.01,13,12
7,Pikachu,1548554164.24,13,14
8,Spearow,1548554165.41,7,17
9,Spearow,1548554165.53,7,16
10,Jigglypuff,1548554169.34,9,8
11,Spearow,1548554170.21,9,16
12,Pikachu,1548554171.29,5,10
13,Jigglypuff,1548554174.06,4,3
14,Nidorina,1548554174.39,1,3
15,Pikachu,1548554176.82,14,13
16,Poliwhirl,1548554177.36,19,13
17,Jigglypuff,1548554179.94,7,1
18,Nidorina,1548554180.69,1,2
19,Poliwhirl,1548554181.56,1,10
20,Poliwhirl,1548554183.17,8,16
21,Spearow,1548554183.5,8,19
22,Nidorina,1548554184.71,15,15
23,Nidorina,1548554185.79,11,9
24,Pikachu,1548554189.92,14,13
25,Poliwhirl,1548554190.89,8,10
26,Nidorina,1548554191.12,8,8
27,Pikachu,1548554191.88,7,6
28,Poliwhirl,1548554193.6,14,15
29,Nidorina,1548554193.93,17,15
30,Nidorina,1548554197.53,3,7
31,Spearow,1548554198.31,3,14
32,Poliwhirl,1548554199.06,2,12
33,Nidorina,1548554200.66,10,5
34,Pikachu,1548554200.79,11,5
35,Poliwhirl,1548554203.01,8,1
36,Pikachu,1548554207.45,10,15
37,Poliwhirl,1548554207.68,10,17
38,Nidorina,1548554211.1,4,13
39,Pikachu,1548554212.5,5,11
40,Spearow,1548554214.43,7,19
41,Pikachu,1548554217.08,8,5
42,Spearow,1548554217.63,8,10
43,Pikachu,1548554218.17,8,15
44,Pikachu,1548554218.6,7,14
45,Spearow,1548554220.97,5,14
46,Nidorina,1548554222.47,2,3
