,Event,Time,X,Y
0,Pikachu,1548554650.24,14,13
1,Spearow,1548554652.54,9,14
2,Poliwhirl,1548554653.28,4,16
3,Poliwhirl,1548554654.25,9,18
4,Jigglypuff,1548554657.72,3,7
5,Jigglypuff,1548554659.54,3,16
6,Spearow,1548554660.62,1,10
7,Nidorina,1548554662.93,19,6
8,Nidorina,1548554663.68,13,5
9,Pikachu,1548554664.77,6,8
10,Poliwhirl,1548554668.23,10,7
11,Nidorina,1548554668.56,13,7
12,Jigglypuff,1548554668.89,16,7
13,Nidorina,1548554669.65,19,3
14,Jigglypuff,1548554669.88,18,2
15,Poliwhirl,1548554672.21,3,3
16,Pikachu,1548554673.61,10,5
17,Poliwhirl,1548554674.9,11,10
18,Jigglypuff,1548554676.39,3,12
19,Jigglypuff,1548554677.99,13,7
20,Pikachu,1548554679.58,14,13
21,Jigglypuff,1548554680.55,5,13
22,Poliwhirl,1548554688.34,6,18
23,Spearow,1548554688.67,3,18
24,Poliwhirl,1548554690.67,7,7
25,Nidorina,1548554691.21,8,11
26,Pikachu,1548554692.48,12,15
27,Spearow,1548554693.66,1,15
28,Poliwhirl,1548554694.74,9,13
29,Nidorina,1548554697.8,16,1
30,Jigglypuff,1548554698.03,16,3
31,Pikachu,1548554699.53,13,14
32,Poliwhirl,1548554700.51,4,14
33,Pikachu,1548554702.74,5,10
34,Poliwhirl,1548554703.42,9,8
35,Nidorina,1548554704.6,10,4
36,Pikachu,1548554705.79,15,10
37,Nidorina,1548554707.61,9,19
38,Spearow,1548554707.73,8,19
39,Poliwhirl,1548554708.16,4,19
