,Event,Time,X,Y
0,Nidorina,1548554534.12,9,11
1,Jigglypuff,1548554535.68,11,12
2,Poliwhirl,1548554536.43,6,12
3,Jigglypuff,1548554537.4,11,14
4,Pikachu,1548554538.67,7,14
5,Nidorina,1548554540.16,15,8
6,Pikachu,1548554540.8,12,5
7,Poliwhirl,1548554544.59,10,17
8,Poliwhirl,1548554547.3,12,9
9,Jigglypuff,1548554548.68,16,18
10,Pikachu,1548554551.92,13,14
11,Poliwhirl,1548554551.94,13,14
12,Jigglypuff,1548554553.84,6,7
13,Pikachu,1548554554.16,8,6
14,Poliwhirl,1548554555.34,18,7
15,Jigglypuff,1548554557.13,10,16
16,Poliwhirl,1548554557.88,6,19
17,Poliwhirl,1548554558.32,2,19
18,Spearow,1548554558.75,1,16
19,Poliwhirl,1548554559.61,1,8
20,Pikachu,1548554560.14,5,9
21,Pikachu,1548554560.26,5,10
22,Poliwhirl,1548554563.21,18,7
23,Nidorina,1548554564.28,11,4
24,Jigglypuff,1548554565.4,12,3
25,Nidorina,1548554566.9,2,1
26,Spearow,1548554568.91,1,19
27,Nidorina,1548554569.56,4,16
28,Spearow,1548554573.74,7,12
29,Jigglypuff,1548554575.36,5,3
30,Jigglypuff,1548554575.58,5,5
31,Pikachu,1548554576.12,5,10
32,Jigglypuff,1548554577.63,2,19
33,Nidorina,1548554577.95,2,16
