,Event,Time,X,Y
0,Nidorina,1552513606.04,16,3
1,Pikachu,1552513607.63,8,5
2,Spearow,1552513609.68,2,12
3,Jigglypuff,1552513611.73,8,11
4,Spearow,1552513611.74,8,11
5,Pikachu,1552513613.78,5,11
6,Spearow,1552513614.76,8,14
7,Nidorina,1552513618.07,18,3
8,Jigglypuff,1552513618.87,16,4
9,Poliwhirl,1552513619.82,12,6
10,Pikachu,1552513621.12,6,8
11,Poliwhirl,1552513623.96,6,18
12,Nidorina,1552513627.47,13,3
13,Jigglypuff,1552513627.8,15,3
14,Pikachu,1552513630.82,13,14
15,Spearow,1552513633.21,2,10
16,Nidorina,1552513635.92,11,2
17,Poliwhirl,1552513637.2,11,10
18,Nidorina,1552513638.66,10,18
19,Spearow,1552513639.3,8,16
20,Poliwhirl,1552513641.55,5,5
