,Event,Time,X,Y
0,Jigglypuff,1548644213.51,6,1
1,Nidorina,1548644217.25,2,19
2,Poliwhirl,1548644218.51,10,19
3,Jigglypuff,1548644220.71,16,11
4,Jigglypuff,1548644222.46,17,3
5,Poliwhirl,1548644224.85,14,5
6,Pikachu,1548644227.07,10,15
7,Spearow,1548644227.56,7,15
8,Poliwhirl,1548644228.37,4,13
9,Jigglypuff,1548644229.8,9,9
10,Pikachu,1548644230.92,15,10
11,Pikachu,1548644232.65,9,15
12,Spearow,1548644232.82,8,15
13,Spearow,1548644233.15,6,15
14,Poliwhirl,1548644235.41,5,6
15,Pikachu,1548644237.48,9,15
16,Spearow,1548644238.15,6,16
17,Poliwhirl,1548644239.42,2,12
18,Pikachu,1548644242.14,13,6
19,Pikachu,1548644242.78,10,5
20,Nidorina,1548644244.43,10,1
21,Jigglypuff,1548644247.95,4,7
22,Poliwhirl,1548644249.22,2,13
23,Nidorina,1548644250.02,3,17
24,Poliwhirl,1548644254.2,18,10
25,Jigglypuff,1548644255.0,17,12
26,Nidorina,1548644256.16,16,10
27,Pikachu,1548644258.76,11,5
28,Poliwhirl,1548644258.94,10,5
29,Pikachu,1548644260.89,7,14
30,Spearow,1548644261.54,7,18
31,Nidorina,1548644262.68,9,13
32,Poliwhirl,1548644265.9,10,4
33,Pikachu,1548644266.23,9,5
34,Spearow,1548644268.2,4,12
35,Spearow,1548644269.31,3,18
36,Poliwhirl,1548644272.22,1,2
37,Nidorina,1548644278.14,14,12
38,Pikachu,1548644282.05,8,6
39,Poliwhirl,1548644282.85,4,7
40,Spearow,1548644284.44,6,15
