,Event,Time,X,Y
0,Pikachu,1548555038.48,7,14
1,Poliwhirl,1548555038.65,7,15
2,Jigglypuff,1548555040.21,15,17
3,Poliwhirl,1548555041.77,7,19
4,Spearow,1548555043.35,1,15
5,Nidorina,1548555044.91,1,5
6,Poliwhirl,1548555047.58,9,10
7,Nidorina,1548555048.84,2,9
8,Poliwhirl,1548555051.49,1,15
9,Spearow,1548555052.13,2,18
10,Pikachu,1548555054.46,13,14
11,Pikachu,1548555057.56,7,6
12,Jigglypuff,1548555059.27,18,6
13,Pikachu,1548555060.38,14,7
14,Nidorina,1548555062.42,9,15
15,Poliwhirl,1548555063.38,7,19
16,Spearow,1548555064.8,4,13
17,Jigglypuff,1548555066.52,5,3
18,Poliwhirl,1548555067.16,9,3
19,Nidorina,1548555067.17,9,3
20,Spearow,1548555068.59,7,10
21,Spearow,1548555070.2,6,19
22,Jigglypuff,1548555073.31,7,2
23,Nidorina,1548555073.78,8,4
24,Spearow,1548555075.97,10,16
25,Jigglypuff,1548555077.23,13,17
26,Spearow,1548555078.96,4,19
27,Spearow,1548555080.67,4,14
28,Pikachu,1548555082.09,6,7
29,Jigglypuff,1548555083.97,10,15
30,Pikachu,1548555085.54,15,10
31,Spearow,1548555091.11,2,15
32,Pikachu,1548555092.83,12,14
33,Jigglypuff,1548555094.09,10,8
34,Pikachu,1548555095.98,15,9
35,Poliwhirl,1548555097.71,19,2
36,Nidorina,1548555098.04,18,1
37,Spearow,1548555101.94,2,10
38,Jigglypuff,1548555103.21,6,14
39,Spearow,1548555103.84,7,11
40,Pikachu,1548555105.27,10,15
41,Poliwhirl,1548555105.9,11,14
