,Event,Time,X,Y
0,Nidorina,1548554887.8,13,13
1,Pikachu,1548554889.51,7,14
2,Poliwhirl,1548554891.22,3,11
3,Pikachu,1548554894.95,6,12
4,Poliwhirl,1548554896.36,7,4
5,Jigglypuff,1548554896.83,6,2
6,Nidorina,1548554899.2,10,3
7,Pikachu,1548554900.61,11,5
8,Jigglypuff,1548554903.24,16,3
9,Spearow,1548554907.88,4,19
10,Poliwhirl,1548554909.61,15,19
11,Poliwhirl,1548554911.63,17,8
12,Pikachu,1548554913.51,7,6
13,Jigglypuff,1548554914.8,3,2
14,Spearow,1548554917.29,1,16
15,Poliwhirl,1548554917.93,2,19
16,Nidorina,1548554919.96,5,17
17,Spearow,1548554920.28,3,17
18,Jigglypuff,1548554922.63,6,5
19,Pikachu,1548554923.59,12,5
20,Poliwhirl,1548554924.37,11,9
21,Pikachu,1548554925.79,6,13
22,Spearow,1548554927.2,10,18
23,Nidorina,1548554928.16,14,16
24,Spearow,1548554929.72,10,10
25,Pikachu,1548554931.13,7,14
