,Event,Time,X,Y
0,Poliwhirl,1548554098.9,13,1
1,Nidorina,1548554101.21,10,2
2,Nidorina,1548554102.57,5,4
3,Spearow,1548554104.18,7,11
4,Jigglypuff,1548554104.92,8,15
5,Pikachu,1548554107.04,13,14
6,Spearow,1548554108.98,9,10
7,Pikachu,1548554109.52,6,12
8,Spearow,1548554110.69,8,19
9,Jigglypuff,1548554111.66,16,18
10,Pikachu,1548554112.41,14,13
11,Jigglypuff,1548554115.49,18,6
12,Poliwhirl,1548554116.34,19,13
13,Pikachu,1548554117.72,15,10
14,Jigglypuff,1548554118.47,11,7
15,Pikachu,1548554121.32,15,8
16,Poliwhirl,1548554123.44,12,7
17,Nidorina,1548554125.45,3,1
18,Jigglypuff,1548554129.15,1,16
19,Pikachu,1548554130.32,11,15
20,Nidorina,1548554132.76,9,4
21,Pikachu,1548554135.09,5,10
22,Poliwhirl,1548554135.84,4,14
23,Pikachu,1548554137.12,9,15
24,Spearow,1548554138.31,3,18
25,Nidorina,1548554140.22,18,19
26,Spearow,1548554143.19,9,14
27,Poliwhirl,1548554144.27,15,10
28,Nidorina,1548554145.35,16,3
29,Spearow,1548554148.56,6,19
30,Pikachu,1548554151.62,12,6
31,Jigglypuff,1548554152.39,14,5
