,Event,Time,X,Y
0,Nidorina,1548648633.13,7,4
1,Spearow,1548648634.71,7,14
2,Jigglypuff,1548648636.13,11,19
3,Poliwhirl,1548648637.25,16,17
4,Nidorina,1548648638.38,15,11
5,Nidorina,1548648639.33,11,9
6,Spearow,1548648639.81,9,10
7,Nidorina,1548648641.08,6,15
8,Jigglypuff,1548648641.71,4,17
9,Pikachu,1548648643.97,14,13
10,Spearow,1548648645.88,3,12
11,Pikachu,1548648647.46,10,15
12,Jigglypuff,1548648647.79,12,15
13,Nidorina,1548648649.07,9,16
14,Nidorina,1548648653.24,5,18
15,Pikachu,1548648654.36,5,11
16,Nidorina,1548648655.32,11,11
17,Nidorina,1548648655.66,13,11
18,Pikachu,1548648659.79,9,15
19,Spearow,1548648660.12,9,13
20,Spearow,1548648661.25,5,10
21,Nidorina,1548648664.02,13,1
