,Event,Time,X,Y
0,Jigglypuff,1552513648.46,11,4
1,Poliwhirl,1552513649.25,7,5
2,Nidorina,1552513650.36,4,9
3,Pikachu,1552513651.46,6,14
4,Spearow,1552513652.1,10,14
5,Poliwhirl,1552513653.99,16,8
6,Pikachu,1552513655.75,12,15
7,Nidorina,1552513656.55,11,19
8,Spearow,1552513658.14,2,18
9,Spearow,1552513659.44,2,10
10,Jigglypuff,1552513661.35,6,2
11,Poliwhirl,1552513662.79,14,3
12,Nidorina,1552513664.23,12,10
13,Jigglypuff,1552513667.4,13,7
14,Pikachu,1552513667.57,13,6
15,Nidorina,1552513669.35,10,10
16,Spearow,1552513670.31,4,10
17,Poliwhirl,1552513672.25,8,18
18,Pikachu,1552513672.89,9,15
19,Poliwhirl,1552513674.16,12,10
20,Jigglypuff,1552513674.65,15,10
21,Nidorina,1552513675.64,19,8
22,Poliwhirl,1552513677.73,11,7
23,Nidorina,1552513678.54,7,8
24,Pikachu,1552513678.88,5,8
25,Spearow,1552513680.19,2,13
26,Pikachu,1552513680.84,6,13
27,Nidorina,1552513681.83,10,15
28,Spearow,1552513682.31,10,18
29,Poliwhirl,1552513685.51,19,7
30,Nidorina,1552513687.32,13,2
31,Jigglypuff,1552513688.12,8,2
32,Pikachu,1552513688.76,8,6
33,Spearow,1552513691.8,8,19
34,Poliwhirl,1552513692.81,14,19
35,Pikachu,1552513694.81,14,7
36,Jigglypuff,1552513697.71,2,5
37,Jigglypuff,1552513697.89,2,6
38,Spearow,1552513700.58,8,17
39,Poliwhirl,1552513703.69,19,9
40,Pikachu,1552513705.79,13,14
41,Poliwhirl,1552513707.91,13,1
42,Nidorina,1552513710.03,3,4
43,Nidorina,1552513710.37,5,4
44,Jigglypuff,1552513711.84,4,10
45,Spearow,1552513714.23,2,19
46,Poliwhirl,1552513716.85,18,19
47,Poliwhirl,1552513719.18,18,5
48,Nidorina,1552513720.98,12,4
49,Pikachu,1552513722.46,15,10
50,Nidorina,1552513723.46,16,13
51,Pikachu,1552513724.6,11,15
52,Spearow,1552513725.75,4,15
53,Jigglypuff,1552513726.57,4,10
54,Poliwhirl,1552513730.64,8,9
55,Pikachu,1552513731.29,8,5
56,Spearow,1552513732.93,9,12
57,Pikachu,1552513733.93,15,12
58,Nidorina,1552513736.22,18,1
59,Nidorina,1552513739.04,16,14
60,Jigglypuff,1552513740.17,14,19
61,Nidorina,1552513741.81,7,16
62,Poliwhirl,1552513744.32,4,4
63,Pikachu,1552513746.27,5,9
64,Nidorina,1552513749.68,12,7
65,Spearow,1552513750.49,10,10
66,Nidorina,1552513751.82,10,18
67,Poliwhirl,1552513753.28,19,18
68,Nidorina,1552513759.52,17,6
69,Pikachu,1552513763.29,5,9
70,Poliwhirl,1552513764.8,9,14
71,Pikachu,1552513765.47,13,14
72,Poliwhirl,1552513765.81,15,14
73,Nidorina,1552513766.3,16,16
74,Spearow,1552513769.42,1,14
75,Jigglypuff,1552513772.46,6,1
76,Poliwhirl,1552513776.2,19,9
77,Poliwhirl,1552513777.83,10,10
78,Spearow,1552513781.63,2,13
79,Jigglypuff,1552513781.96,3,14
80,Pikachu,1552513785.43,11,15
81,Spearow,1552513786.45,6,16
82,Jigglypuff,1552513786.63,6,17
