,Event,Time,X,Y
0,Poliwhirl,1548554360.13,16,7
1,Pikachu,1548554361.19,6,7
2,Nidorina,1548554362.76,10,8
3,Jigglypuff,1548554363.93,4,13
4,Poliwhirl,1548554364.56,3,18
5,Jigglypuff,1548554366.5,1,8
6,Spearow,1548554367.24,1,15
7,Poliwhirl,1548554368.12,9,15
8,Pikachu,1548554368.45,12,15
9,Nidorina,1548554370.26,15,9
10,Jigglypuff,1548554371.02,15,16
11,Poliwhirl,1548554372.85,10,14
12,Pikachu,1548554372.97,10,15
13,Poliwhirl,1548554373.41,7,16
14,Spearow,1548554374.41,1,13
15,Spearow,1548554374.74,1,10
16,Spearow,1548554376.66,8,11
17,Pikachu,1548554377.66,15,9
18,Poliwhirl,1548554379.6,6,8
19,Nidorina,1548554380.25,2,6
20,Jigglypuff,1548554382.71,16,5
21,Nidorina,1548554383.57,14,7
22,Pikachu,1548554384.37,15,9
