,Event,Time,X,Y
0,Jigglypuff,1548554229.76,13,14
1,Pikachu,1548554230.41,7,14
2,Spearow,1548554233.02,4,16
3,Nidorina,1548554234.31,15,15
4,Pikachu,1548554236.86,9,5
5,Poliwhirl,1548554237.72,13,7
6,Spearow,1548554239.74,5,14
7,Pikachu,1548554240.17,5,10
8,Nidorina,1548554240.93,2,10
9,Poliwhirl,1548554243.03,10,14
10,Nidorina,1548554243.04,10,14
11,Pikachu,1548554243.37,7,14
12,Jigglypuff,1548554244.14,1,13
13,Pikachu,1548554245.34,6,7
14,Jigglypuff,1548554245.77,8,9
15,Pikachu,1548554246.86,12,15
16,Poliwhirl,1548554247.61,19,15
17,Nidorina,1548554251.97,18,17
18,Poliwhirl,1548554254.31,5,16
19,Jigglypuff,1548554255.18,13,16
20,Spearow,1548554257.3,6,19
21,Spearow,1548554259.22,2,13
22,Nidorina,1548554260.2,4,6
23,Jigglypuff,1548554262.34,13,11
24,Poliwhirl,1548554262.77,9,11
25,Nidorina,1548554263.86,11,17
26,Jigglypuff,1548554267.16,3,8
27,Pikachu,1548554268.44,15,8
28,Poliwhirl,1548554269.42,13,5
