,Event,Time,X,Y
0,Poliwhirl,1548554854.27,10,11
1,Jigglypuff,1548554856.46,8,19
2,Spearow,1548554857.24,4,18
3,Pikachu,1548554859.27,6,13
4,Poliwhirl,1548554860.69,9,7
5,Nidorina,1548554861.16,12,7
6,Pikachu,1548554861.48,12,5
7,Nidorina,1548554863.21,2,4
8,Jigglypuff,1548554863.84,3,1
9,Pikachu,1548554866.51,14,7
10,Poliwhirl,1548554867.76,8,9
11,Jigglypuff,1548554869.19,7,17
12,Nidorina,1548554870.14,3,15
13,Pikachu,1548554870.92,5,12
14,Jigglypuff,1548554874.04,5,18
15,Nidorina,1548554874.52,5,15
16,Pikachu,1548554876.54,8,5
17,Poliwhirl,1548554876.71,9,5
18,Spearow,1548554879.07,10,19
19,Nidorina,1548554879.55,10,16
20,Spearow,1548554880.19,10,12
