,Event,Time,X,Y
0,Poliwhirl,1548553845.65,18,5
1,Pikachu,1548553847.66,5,9
2,Jigglypuff,1548553848.09,8,10
3,Spearow,1548553848.11,8,10
4,Nidorina,1548553848.34,8,12
5,Spearow,1548553848.67,10,13
6,Poliwhirl,1548553849.54,17,12
7,Jigglypuff,1548553850.95,19,3
8,Poliwhirl,1548553853.0,13,14
9,Poliwhirl,1548553855.23,14,12
10,Jigglypuff,1548553856.0,17,8
11,Spearow,1548553857.85,4,10
12,Poliwhirl,1548553859.37,9,9
13,Jigglypuff,1548553859.91,13,10
14,Spearow,1548553861.3,9,19
15,Poliwhirl,1548553861.43,8,19
16,Jigglypuff,1548553862.62,6,18
17,Nidorina,1548553862.74,7,18
18,Spearow,1548553865.0,9,15
19,Spearow,1548553865.99,2,15
20,Poliwhirl,1548553866.75,3,9
21,Pikachu,1548553866.98,5,9
22,Nidorina,1548553868.72,12,8
23,Nidorina,1548553870.22,16,16
24,Jigglypuff,1548553870.45,15,17
25,Poliwhirl,1548553871.73,5,19
26,Spearow,1548553872.5,7,18
27,Spearow,1548553873.82,1,14
28,Pikachu,1548553874.7,5,10
29,Poliwhirl,1548553876.09,14,14
30,Jigglypuff,1548553876.85,19,12
31,Nidorina,1548553878.04,15,5
32,Pikachu,1548553878.38,14,7
33,Jigglypuff,1548553879.8,3,9
34,Spearow,1548553883.52,5,18
