,Unnamed: 0,Event,Time,X,Y
0,0,Pikachu,1548551559.1,11,15
1,1,Pikachu,1548551559.22,12,15
2,2,Pikachu,1548551563.83,6,13
3,3,Spearow,1548551564.27,5,14
4,4,Pikachu,1548551566.31,6,12
5,5,Pikachu,1548551566.75,5,9
6,6,Pikachu,1548551568.24,15,9
7,7,Spearow,1548551569.11,9,11
8,8,Pikachu,1548551570.08,13,6
9,9,Pikachu,1548551571.81,5,12
10,10,Pikachu,1548551573.84,15,9
11,11,Pikachu,1548551575.34,9,15
12,12,Pikachu,1548551579.57,15,11
13,13,Pikachu,1548551580.43,12,6
14,14,Nidorina,1548551582.03,17,14
15,15,Pikachu,1548551582.57,15,11
16,16,Pikachu,1548551587.23,5,11
17,17,Pikachu,1548551590.08,6,7
18,18,Nidorina,1548551590.64,3,9
19,19,Pikachu,1548551593.31,12,5
20,20,Pikachu,1548551594.7,5,9
21,21,Pikachu,1548551597.06,9,15
22,22,Pikachu,1548551599.52,14,7
23,23,Pikachu,1548551603.01,9,5
24,24,Pikachu,1548551605.59,9,15
25,25,Pikachu,1548551605.93,7,14
26,26,Pikachu,1548551607.98,5,11
27,27,Pikachu,1548551611.47,14,13
28,28,Pikachu,1548551616.81,12,15
29,29,Pikachu,1548551617.45,7,14
30,30,Poliwhirl,1548551619.7,18,4
31,31,Pikachu,1548551621.63,11,15
32,32,Pikachu,1548551623.56,15,9
