,Event,Time,X,Y
0,Poliwhirl,1552513324.39,4,3
1,Nidorina,1552513327.09,1,17
2,Jigglypuff,1552513329.8,16,15
3,Poliwhirl,1552513330.45,16,11
4,Poliwhirl,1552513332.23,15,1
5,Nidorina,1552513335.07,4,8
6,Poliwhirl,1552513336.51,4,17
7,Spearow,1552513337.62,8,16
8,Pikachu,1552513338.77,5,12
9,Nidorina,1552513341.15,15,7
10,Poliwhirl,1552513343.73,4,2
11,Poliwhirl,1552513346.31,2,14
12,Jigglypuff,1552513346.94,6,14
13,Pikachu,1552513347.28,8,14
14,Spearow,1552513347.61,10,14
15,Poliwhirl,1552513350.32,13,18
16,Jigglypuff,1552513351.76,4,18
17,Poliwhirl,1552513354.19,6,5
18,Jigglypuff,1552513355.62,15,5
19,Poliwhirl,1552513358.33,10,17
20,Spearow,1552513359.14,8,14
21,Pikachu,1552513359.32,7,14
22,Jigglypuff,1552513360.47,1,13
23,Poliwhirl,1552513363.69,9,1
24,Nidorina,1552513364.96,10,8
25,Spearow,1552513365.77,9,10
26,Nidorina,1552513367.37,16,13
27,Pikachu,1552513368.97,8,15
28,Nidorina,1552513369.46,8,18
29,Spearow,1552513370.62,2,17
30,Pikachu,1552513372.12,5,11
31,Jigglypuff,1552513374.1,8,2
32,Poliwhirl,1552513376.51,13,12
33,Jigglypuff,1552513377.31,11,15
34,Spearow,1552513379.06,4,19
35,Nidorina,1552513379.57,3,17
36,Poliwhirl,1552513383.99,13,6
37,Nidorina,1552513386.08,11,17
38,Poliwhirl,1552513388.69,3,9
39,Poliwhirl,1552513397.06,12,14
40,Poliwhirl,1552513398.71,15,7
41,Nidorina,1552513402.15,4,7
42,Spearow,1552513403.15,4,13
43,Jigglypuff,1552513404.12,9,14
44,Spearow,1552513405.56,6,16
45,Nidorina,1552513410.3,17,6
46,Jigglypuff,1552513411.95,16,9
47,Pikachu,1552513414.05,6,12
48,Spearow,1552513417.28,3,15
49,Jigglypuff,1552513418.63,4,8
50,Pikachu,1552513418.97,6,8
51,Jigglypuff,1552513420.29,14,8
52,Nidorina,1552513422.08,19,4
53,Nidorina,1552513423.39,19,12
54,Spearow,1552513428.03,1,11
55,Poliwhirl,1552513430.16,4,1
56,Pikachu,1552513434.01,5,10
57,Nidorina,1552513434.34,4,11
58,Spearow,1552513434.98,4,15
59,Poliwhirl,1552513435.48,6,16
60,Nidorina,1552513440.17,18,5
61,Nidorina,1552513444.51,9,13
62,Poliwhirl,1552513447.11,14,2
63,Pikachu,1552513448.29,10,5
64,Poliwhirl,1552513451.0,3,15
65,Spearow,1552513451.65,4,18
