,Event,Time,X,Y
0,Pikachu,1548553985.73,14,8
1,Jigglypuff,1548553985.85,14,9
2,Jigglypuff,1548553986.6,13,15
3,Spearow,1548553987.68,6,16
4,Spearow,1548553991.35,10,17
5,Nidorina,1548553992.96,8,4
6,Spearow,1548553994.15,9,10
7,Poliwhirl,1548553995.12,4,6
8,Pikachu,1548553995.89,10,5
9,Jigglypuff,1548553997.27,19,9
10,Jigglypuff,1548553998.47,12,7
11,Pikachu,1548553999.86,5,9
12,Nidorina,1548554000.72,2,14
13,Poliwhirl,1548554001.04,2,11
14,Spearow,1548554003.16,3,12
15,Nidorina,1548554004.86,8,1
16,Jigglypuff,1548554006.49,14,10
17,Poliwhirl,1548554007.45,11,16
18,Pikachu,1548554010.41,5,8
19,Jigglypuff,1548554011.8,16,6
20,Jigglypuff,1548554012.44,13,3
21,Nidorina,1548554013.53,6,2
22,Jigglypuff,1548554014.92,18,3
23,Jigglypuff,1548554015.79,15,8
24,Pikachu,1548554015.91,15,9
25,Poliwhirl,1548554016.77,14,16
26,Jigglypuff,1548554018.18,6,11
27,Pikachu,1548554020.31,12,5
28,Nidorina,1548554021.31,11,11
29,Nidorina,1548554022.71,6,3
30,Poliwhirl,1548554028.51,15,17
