,Event,Time,X,Y
0,Jigglypuff,1548553944.14,16,14
1,Jigglypuff,1548553944.26,15,14
2,Nidorina,1548553944.38,14,14
3,Nidorina,1548553944.5,13,14
4,Pikachu,1548553947.04,6,13
5,Pikachu,1548553949.24,5,11
6,Pikachu,1548553950.44,14,13
7,Jigglypuff,1548553957.7,12,12
8,Spearow,1548553959.2,3,17
9,Poliwhirl,1548553961.21,4,3
10,Spearow,1548553962.49,4,15
11,Pikachu,1548553964.51,5,9
12,Poliwhirl,1548553965.8,8,18
13,Spearow,1548553966.78,9,10
14,Poliwhirl,1548553969.34,7,18
15,Spearow,1548553970.32,9,11
16,Jigglypuff,1548553971.4,8,2
17,Pikachu,1548553974.88,8,5
18,Spearow,1548553976.17,10,13
19,Nidorina,1548553977.24,15,8
20,Poliwhirl,1548553978.0,17,3
