,Event,Time,X,Y
0,Poliwhirl,1548644099.91,15,10
1,Jigglypuff,1548644102.43,11,4
2,Nidorina,1548644102.61,11,5
3,Poliwhirl,1548644104.19,12,14
4,Pikachu,1548644104.99,15,12
5,Poliwhirl,1548644106.6,10,13
6,Pikachu,1548644106.93,10,15
7,Poliwhirl,1548644108.37,16,18
8,Pikachu,1548644111.25,15,9
9,Poliwhirl,1548644111.42,15,10
10,Poliwhirl,1548644114.77,14,12
11,Pikachu,1548644115.58,15,8
12,Nidorina,1548644118.59,2,4
13,Spearow,1548644120.18,2,14
14,Nidorina,1548644120.35,2,15
15,Pikachu,1548644122.61,10,15
16,Nidorina,1548644123.41,9,11
17,Jigglypuff,1548644125.03,6,4
18,Pikachu,1548644127.11,6,13
19,Poliwhirl,1548644127.31,7,13
20,Jigglypuff,1548644129.84,2,18
21,Poliwhirl,1548644130.5,2,14
22,Spearow,1548644134.04,1,13
23,Spearow,1548644135.97,8,18
24,Pikachu,1548644138.57,15,9
25,Jigglypuff,1548644139.89,16,6
26,Nidorina,1548644144.56,14,1
27,Spearow,1548644149.04,9,14
28,Jigglypuff,1548644149.54,10,12
29,Poliwhirl,1548644150.39,13,10
30,Jigglypuff,1548644150.56,13,9
31,Spearow,1548644156.3,5,17
32,Jigglypuff,1548644159.07,17,12
33,Poliwhirl,1548644159.24,17,11
34,Nidorina,1548644161.37,14,1
35,Pikachu,1548644162.52,11,5
36,Nidorina,1548644164.13,1,5
37,Spearow,1548644165.57,4,11
38,Poliwhirl,1548644166.55,7,14
39,Jigglypuff,1548644167.37,5,17
40,Pikachu,1548644169.33,9,15
41,Nidorina,1548644172.1,19,10
42,Spearow,1548644177.27,4,15
43,Nidorina,1548644177.61,6,15
44,Pikachu,1548644179.6,8,5
45,Nidorina,1548644180.42,9,9
46,Nidorina,1548644182.35,16,12
47,Pikachu,1548644183.82,13,6
48,Poliwhirl,1548644186.75,5,8
49,Spearow,1548644187.73,5,14
50,Nidorina,1548644188.53,10,14
51,Spearow,1548644195.74,2,16
52,Spearow,1548644197.38,10,18
53,Poliwhirl,1548644201.48,19,2
54,Nidorina,1548644202.44,14,3
55,Poliwhirl,1548644203.57,16,6
56,Pikachu,1548644204.24,12,6
57,Pikachu,1548644204.74,10,5
