,Unnamed: 0,Event,Time,X,Y
0,0,Spearow,1548553899.06,7,18
1,1,Pikachu,1548553899.5,7,14
2,2,Spearow,1548553906.54,10,12
3,3,Jigglypuff,1548553906.77,10,14
4,4,Spearow,1548553907.21,10,18
5,5,Nidorina,1548553907.43,8,18
6,6,Spearow,1548553908.18,7,12
7,7,Nidorina,1548553910.41,6,16
8,8,Pikachu,1548553912.12,15,9
9,9,Nidorina,1548553913.74,8,1
10,10,Poliwhirl,1548553914.7,4,6
11,11,Pikachu,1548553915.88,5,12
12,12,Nidorina,1548553916.42,1,13
13,13,Spearow,1548553919.69,2,15
14,14,Pikachu,1548553920.78,12,15
15,15,Spearow,1548553921.96,6,16
16,16,Spearow,1548553922.75,7,18
17,17,Pikachu,1548553924.07,13,14
18,18,Spearow,1548553925.38,2,13
19,19,Jigglypuff,1548553925.71,2,10
20,20,Spearow,1548553927.72,3,12
21,21,Jigglypuff,1548553929.02,14,11
22,22,Nidorina,1548553930.51,11,6
23,23,Nidorina,1548553931.05,11,11
24,24,Jigglypuff,1548553931.17,10,11
25,25,Spearow,1548553932.24,2,13
26,26,Nidorina,1548553933.94,1,12
27,27,Jigglypuff,1548553935.13,1,1
