,Event,Time,X,Y
0,Poliwhirl,1548554060.29,3,8
1,Nidorina,1548554060.51,3,10
2,Pikachu,1548554064.27,14,13
3,Jigglypuff,1548554065.45,16,16
4,Jigglypuff,1548554067.17,14,4
5,Poliwhirl,1548554070.33,18,8
6,Pikachu,1548554071.81,8,6
7,Nidorina,1548554071.94,7,6
8,Poliwhirl,1548554072.57,8,1
9,Jigglypuff,1548554075.22,15,17
10,Nidorina,1548554075.24,15,17
11,Pikachu,1548554076.21,8,15
12,Jigglypuff,1548554077.39,8,4
13,Nidorina,1548554079.2,17,12
14,Nidorina,1548554081.2,16,18
15,Spearow,1548554083.12,1,19
16,Poliwhirl,1548554083.99,1,11
17,Nidorina,1548554085.3,11,9
18,Jigglypuff,1548554087.54,7,2
19,Jigglypuff,1548554090.07,9,14
20,Poliwhirl,1548554090.39,6,14
21,Nidorina,1548554091.14,10,13
22,Poliwhirl,1548554091.27,10,12
23,Pikachu,1548554093.08,5,8
