,Event,Time,X,Y
0,Poliwhirl,1548648669.79,14,14
1,Pikachu,1548648669.96,13,14
2,Spearow,1548648672.33,1,11
3,Poliwhirl,1548648673.28,3,7
4,Spearow,1548648674.56,8,10
5,Nidorina,1548648675.03,7,12
6,Spearow,1548648675.05,7,12
7,Nidorina,1548648676.65,6,17
8,Pikachu,1548648678.55,13,14
9,Spearow,1548648679.52,7,14
10,Pikachu,1548648680.83,7,6
11,Poliwhirl,1548648681.63,3,5
12,Jigglypuff,1548648684.18,1,19
13,Spearow,1548648685.14,7,19
14,Jigglypuff,1548648687.85,13,8
15,Pikachu,1548648688.18,13,6
16,Poliwhirl,1548648691.54,3,13
17,Jigglypuff,1548648691.87,3,15
18,Spearow,1548648692.36,3,18
19,Poliwhirl,1548648693.15,8,18
20,Pikachu,1548648693.8,9,15
21,Nidorina,1548648696.88,17,4
22,Jigglypuff,1548648697.68,16,6
23,Pikachu,1548648698.48,15,10
24,Spearow,1548648701.81,1,15
25,Nidorina,1548648702.77,7,15
26,Spearow,1548648703.6,10,13
27,Pikachu,1548648705.56,13,6
28,Poliwhirl,1548648709.24,1,5
29,Spearow,1548648711.32,5,14
30,Pikachu,1548648713.58,14,13
31,Spearow,1548648714.56,10,11
32,Jigglypuff,1548648715.4,12,8
33,Jigglypuff,1548648717.84,7,2
34,Pikachu,1548648719.15,5,8
35,Spearow,1548648720.12,5,14
36,Nidorina,1548648722.38,14,19
37,Poliwhirl,1548648723.03,15,16
38,Pikachu,1548648726.28,13,6
39,Nidorina,1548648727.26,11,10
40,Nidorina,1548648728.26,10,15
41,Spearow,1548648729.57,4,13
42,Spearow,1548648730.25,2,11
43,Nidorina,1548648730.9,1,8
44,Poliwhirl,1548648732.57,4,1
45,Jigglypuff,1548648735.91,8,4
46,Pikachu,1548648737.24,11,5
47,Pikachu,1548648739.37,13,6
48,Pikachu,1548648741.85,15,11
49,Spearow,1548648745.54,1,16
50,Nidorina,1548648745.88,1,14
51,Jigglypuff,1548648746.21,1,12
52,Poliwhirl,1548648748.22,2,7
53,Nidorina,1548648750.47,7,16
54,Spearow,1548648751.44,10,13
55,Jigglypuff,1548648754.87,11,1
56,Nidorina,1548648756.21,19,1
57,Poliwhirl,1548648759.97,13,18
58,Nidorina,1548648761.61,3,18
59,Spearow,1548648766.37,4,16
60,Pikachu,1548648767.69,5,9
61,Poliwhirl,1548648772.32,15,9
62,Nidorina,1548648773.97,10,8
63,Spearow,1548648775.95,8,18
64,Spearow,1548648777.26,1,17
65,Spearow,1548648782.72,5,16
